code,slug,name,type_label,deposit,material,color,cx,price_now,price_std,delta_pct
001,anhel-skorboty,Ангел Скорботи,Меморіальний комплекс,Габро (Головинське),gabbro,black,skladna,136000,145500,7
002,memorial-heroia,Меморіал Героя,Військовий пам'ятник,Покостівський,granite,grey,elitna,305000,281000,-8
003,tykha-molytva,Тиха Молитва,Меморіальний комплекс,Габро (Букинське),gabbro,black,standartna,109000,126000,16
004,kolo-vichnosti,Коло Вічності,Меморіальний комплекс,Лезниківський,granite,red,elitna,155000,190500,23
006,svitla-pamiat,Світла Пам'ять,Військовий пам'ятник,Покостівський,granite,grey,bazova,101000,159500,58
007,rodynnyi-spokii,Родинний Спокій,Військовий пам'ятник,Лабрадорит (Добринський),labradorite,black,skladna,190000,232000,22
008,voin,Воїн,Військовий пам'ятник,Маславський,granite,green,elitna,328000,306000,-7
009,heroi-ne-vmyraiut,Герої Не Вмирають,Військовий пам'ятник,Лабрадорит (Горбулівський),labradorite,black,skladna,178000,236000,33
011,varta-chesti,Варта Честі,Військовий пам'ятник,Габро (Головинське),gabbro,black,skladna,201000,228000,13
012,khrest-zvytiahy,Хрест Звитяги,Меморіальний комплекс,Мармур білий,marble,white,elitna,193000,197500,2
013,ridna-zemlia,Рідна Земля,Військовий пам'ятник,Габро (Букинське),gabbro,black,standartna,167000,197000,18
014,obitnytsia,Обітниця,Військовий пам'ятник,Лабрадорит (Добринський),labradorite,black,prosta,90000,135500,51
015,smarahdovyi-spokii,Смарагдовий Спокій,Меморіальний комплекс,Дідковицький,granite,green,elitna,147000,190000,29
016,rankove-svitlo,Ранкове Світло,Меморіальний комплекс,Танський,granite,grey,prosta,83000,87500,5
017,bahrianyi-spokii,Багряний Спокій,Військовий пам'ятник,Лабрадорит (Горбулівський),labradorite,black,prosta,87000,137500,58
018,khvylia-pamiati,Хвиля Пам'яті,Меморіальний комплекс,Габро (Головинське),gabbro,black,elitna,224000,182000,-19
019,svitanok,Світанок,Військовий пам'ятник,Капустинський,granite,red,standartna,106000,195000,84
020,rushnyk,Рушник,Військовий пам'ятник,Маславський,granite,green,bazova,99000,173500,75
021,sertse-materi,Серце Матері,Меморіальний комплекс,Капустинський,granite,red,skladna,121000,149500,24
022,anhel-nadii,Ангел Надії,Меморіальний комплекс,Габро (Букинське),gabbro,black,skladna,140000,151000,8
023,bahriana-khvylia,Багряна Хвиля,Меморіальний комплекс,Межиріченський,granite,red,bazova,101000,106500,5
024,strymanist,Стриманість,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,prosta,67000,86500,29
025,tysha,Тиша,Меморіальний комплекс,Лабрадорит (Горбулівський),labradorite,black,prosta,85000,88000,4
026,zakhid-sontsia,Захід Сонця,Меморіальний комплекс,Токівський,granite,brown,prosta,97000,89500,-8
027,bahrianyi-smutok,Багряний Смуток,Меморіальний комплекс,Лезниківський,granite,red,bazova,103000,108000,5
028,stezhka,Стежка,Військовий пам'ятник,Софіївський,granite,grey,bazova,94000,166500,77
030,arka-pamiati,Арка Пам'яті,Меморіальний комплекс,Дідковицький,granite,green,standartna,113000,126500,12
031,dva-kolory,Два Кольори,Меморіальний комплекс,Габро (Головинське),gabbro,black,bazova,102000,103000,1
032,strichka-pamiati,Стрічка Пам'яті,Військовий пам'ятник,Корнинський,granite,grey,bazova,100000,165000,65
033,vysokyi-khrest,Високий Хрест,Військовий пам'ятник,Покостівський,granite,grey,standartna,110000,187500,70
034,sertse,Серце,Меморіальний комплекс,Капустинський,granite,red,skladna,124000,149500,21
035,skelia,Скеля,Меморіальний комплекс,Маславський,granite,green,prosta,97000,91000,-6
036,portal,Портал,Меморіальний комплекс,Межиріченський,granite,red,standartna,114000,125500,10
037,polumia,Полум'я,Меморіальний комплекс,Лезниківський,granite,red,bazova,99000,108000,9
038,hladin,Гладінь,Меморіальний комплекс,Габро (Головинське),gabbro,black,bazova,106000,103000,-3
039,vechirnia-molytva,Вечірня Молитва,Меморіальний комплекс,Габро (Букинське),gabbro,black,bazova,101000,107000,6
040,sertse-i-khrest,Серце і Хрест,Меморіальний комплекс,Лабрадорит (Добринський),labradorite,black,prosta,91000,86500,-5
041,chervonyi-khrest,Червоний Хрест,Меморіальний комплекс,Капустинський,granite,red,standartna,108000,124500,15
042,velykyi-khrest,Великий Хрест,Меморіальний комплекс,Межиріченський,granite,red,standartna,117000,125500,7
