code,name,color_db,stela_photo,base_photo,material_db,shape_db,збіг,нотатка
001,Ангел Скорботи,black,black,grey,gabbro,Одиночний,так,стела темна з сірою скульптурою; жезл Асклепія — лікарю
002,Меморіал Героя,red,red,red,Покостівський,Комплекс Військовий,так,повністю червоний комплекс з колонами й столиком; тризуб
003,Тиха Молитва,black,black,black,gabbro,Комплекс,так,чорний комплекс з лавками
004,Коло Вічності,red,red,red,Лезниківський,Одиночний,так,червона спіральна стела
006,Світла Пам'ять,grey,grey,grey,Леопард,Комплекс Військовий,так,
007,Родинний Спокій,black,black,grey,gabbro,Одиночний Військовий,так,"чорна стела, сіра основа з лавками"
008,Воїн,green,green,black,Маслав,Одиночний Військовий,так,"темно-зелена стела, скульптура воїна"
009,Герої Не Вмирають,black,black,grey,Леопард,Комплекс Військовий,так,"«ГЕРОЇ НЕ ВМИРАЮТЬ», прапори"
011,Варта Честі,black,black,black,granite,Комплекс Військовий,так,"колони, балясини, хрест угорі"
012,Хрест Звитяги,white,white,grey,marble,Одиночний,так,білий мармуровий хрест
013,Рідна Земля,black,black,grey,granite,Одиночний Військовий,так,"мапа України, прапори"
014,Обітниця,black,black,red,granite,Комплекс Військовий,так,чорна стела на червоній основі
015,Смарагдовий Спокій,green,green,green,granite,Одиночний,так,зелена стела з тризубом
016,Ранкове Світло,grey,grey,grey,granite,Одиночний,так,
017,Багряний Спокій,black,black,red,granite,Одиночний Військовий,так,"чорна стела, червоний хрест і квітник"
018,Хвиля Пам'яті,black,black,black,granite,Спарений комплекс,так,великий плаский комплекс
019,Світанок,Рожевий,pink,pink,granite,Одиночний Військовий,так,"рожевий граніт, лавка"
020,Рушник,green,black,green,granite,Одиночний Військовий,,"чорна стела, темно-зелена плита, рушник"
021,Серце Матері,red,red,red,—,Одиночний,так,червоне серце
022,Ангел Надії,black,red,red,granite,Одиночний,,"скульптура ангела; ЧЕРВОНИЙ, не чорний"
023,Багряна Хвиля,red,red,red,granite,Одиночний,так,
024,Стриманість,black,black,black,granite,Одиночний,так,
025,Тиша,black,black,grey,granite,Одиночний,так,
026,Захід Сонця,brown,red,red,granite,Одиночний,,теплий червоний; у базі «коричневий»
027,Багряний Смуток,red,black,black,granite,Одиночний,,"стела ЧОРНА, у базі «червоний»"
028,Стежка,grey,black,grey,granite,Одиночний Військовий,,прапор
030,Арка Пам'яті,green,red,red,granite,Одиночний,,рожево-червоний; у базі «зелений»
031,Два Кольори,—,black,red,—,Одиночний,,«Два Кольори» — назва точна
032,Стрічка Пам'яті,grey,grey,grey,—,Одиночний Військовий,так,стрічка синьо-жовта
033,Високий Хрест,grey,grey,grey,granite,Одиночний Військовий,так,сірий хрест
034,Серце,red,red,red,—,Одиночний,так,"серце, два портрети"
035,Скеля,green,black,grey,labradorite,Одиночний,,"стела ЧОРНА, у базі «зелений/лабрадорит»"
036,Портал,red,red,red,granite,Одиночний,так,арка
037,Полум'я,red,black,red,granite,Одиночний,,
038,Гладінь,black,black,black,granite,Одиночний,так,лавка
039,Вечірня Молитва,black,black,red,granite,Одиночний,так,
040,Серце і Хрест,black,black,red,granite,Одиночний,так,серце і хрест
041,Червоний Хрест,red,black,red,granite,Одиночний,,"стела чорна, у базі «червоний»"
042,Великий Хрест,red,red,red,granite,Одиночний,так,великий червоний хрест
043,Сад Пам'яті,black,black,black,granite,Одиночний,так,"огорожа, зелень"
044,Тепле Серце,black,black,red,—,Одиночний,так,серце
045,Опівнічний Спокій,green,black,black,labradorite,Одиночний,,"стела ЧОРНА, у базі «зелений/лабрадорит»"
046,Обійми Ангела,black,black,red,granite,Одиночний,так,бронзова скульптура ангела
047,Дві Стихії,black,black,red,granite,Одиночний,так,«Дві Стихії» — назва точна
048,Промінь,black,black,red,granite,Одиночний,так,розділене серце
049,Лілея,grey,black,grey,granite,Одиночний,,
050,Розп'яття,red,red,red,—,Одиночний,так,хрест
051,Спогад,black,black,black,granite,Одиночний,так,
052,Родинний Сад,black,red,red,granite,Одиночний,,"стела ЧЕРВОНА, у базі «чорний»"
053,Світанок над Каменем,green,black,red,labradorite,Одиночний,,"стела ЧОРНА, у базі «зелений/лабрадорит»"
054,Хвиля,black,black,grey,granite,Одиночний,так,хвиляста плита
055,Спокій,black,black,red,granite,Одиночний,так,МЕНОРА на стелі — юдейський символ
056,Квітник,black,black,red,granite,Одиночний,так,квітник
057,Ангел-Охоронець,black,black,red,granite,Одиночний,так,сіра скульптура ангела
058,Багряне Розп'яття,black,red,black,—,Одиночний,,червоний хрест на чорній стелі
059,Червоне і Чорне,black,black,red,granite,Одиночний,так,«Червоне і Чорне» — назва точна
060,Вічна Слава,black,black,grey,granite,Комплекс Військовий,так,«Вічна Слава Герою»
061,Смуга Світла,black,black,grey,granite,Одиночний,так,
062,Скорбота,black,black,black,granite,Одиночний,так,сіра скорботна фігура
063,Ангел Світла,black,black,black,granite,Одиночний,так,біла скульптура ангела
