type,deposit,material,color,size,size_label,complexity,price
Пам'ятник одинарний,Покостівський,granite,grey,800x450x80,Економ,"Проста форма, гравіювання напису",15000
Пам'ятник одинарний,Покостівський,granite,grey,800x450x80,Економ,"Базова, портрет і напис",18000
Пам'ятник одинарний,Покостівський,granite,grey,800x450x80,Економ,"Стандартна, портрет і орнамент",21000
Пам'ятник одинарний,Покостівський,granite,grey,800x450x80,Економ,"Складна, різьблення й декор",25500
Пам'ятник одинарний,Покостівський,granite,grey,800x450x80,Економ,"Елітна, скульптура й позолота",32000
Пам'ятник одинарний,Покостівський,granite,grey,1000x500x80,Стандарт,"Проста форма, гравіювання напису",16000
Пам'ятник одинарний,Покостівський,granite,grey,1000x500x80,Стандарт,"Базова, портрет і напис",19500
Пам'ятник одинарний,Покостівський,granite,grey,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",23000
Пам'ятник одинарний,Покостівський,granite,grey,1000x500x80,Стандарт,"Складна, різьблення й декор",27500
Пам'ятник одинарний,Покостівський,granite,grey,1000x500x80,Стандарт,"Елітна, скульптура й позолота",34500
Пам'ятник одинарний,Покостівський,granite,grey,1000x600x80,Збільшений,"Проста форма, гравіювання напису",17000
Пам'ятник одинарний,Покостівський,granite,grey,1000x600x80,Збільшений,"Базова, портрет і напис",20500
Пам'ятник одинарний,Покостівський,granite,grey,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",24500
Пам'ятник одинарний,Покостівський,granite,grey,1000x600x80,Збільшений,"Складна, різьблення й декор",29000
Пам'ятник одинарний,Покостівський,granite,grey,1000x600x80,Збільшений,"Елітна, скульптура й позолота",36500
Пам'ятник одинарний,Покостівський,granite,grey,1200x600x80,Преміум,"Проста форма, гравіювання напису",18000
Пам'ятник одинарний,Покостівський,granite,grey,1200x600x80,Преміум,"Базова, портрет і напис",22000
Пам'ятник одинарний,Покостівський,granite,grey,1200x600x80,Преміум,"Стандартна, портрет і орнамент",26000
Пам'ятник одинарний,Покостівський,granite,grey,1200x600x80,Преміум,"Складна, різьблення й декор",31000
Пам'ятник одинарний,Покостівський,granite,grey,1200x600x80,Преміум,"Елітна, скульптура й позолота",39000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,800x450x80,Економ,"Проста форма, гравіювання напису",15000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,800x450x80,Економ,"Базова, портрет і напис",18500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,800x450x80,Економ,"Стандартна, портрет і орнамент",21500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,800x450x80,Економ,"Складна, різьблення й декор",26000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,800x450x80,Економ,"Елітна, скульптура й позолота",32500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x500x80,Стандарт,"Проста форма, гравіювання напису",16500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x500x80,Стандарт,"Базова, портрет і напис",20000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",23500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x500x80,Стандарт,"Складна, різьблення й декор",28500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x500x80,Стандарт,"Елітна, скульптура й позолота",35500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x600x80,Збільшений,"Проста форма, гравіювання напису",17500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x600x80,Збільшений,"Базова, портрет і напис",21500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",25000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x600x80,Збільшений,"Складна, різьблення й декор",30000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1000x600x80,Збільшений,"Елітна, скульптура й позолота",37500
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1200x600x80,Преміум,"Проста форма, гравіювання напису",19000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1200x600x80,Преміум,"Базова, портрет і напис",23000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1200x600x80,Преміум,"Стандартна, портрет і орнамент",27000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1200x600x80,Преміум,"Складна, різьблення й декор",32000
Пам'ятник одинарний,Габро (Головинське),gabbro,black,1200x600x80,Преміум,"Елітна, скульптура й позолота",40500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,800x450x80,Економ,"Проста форма, гравіювання напису",15500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,800x450x80,Економ,"Базова, портрет і напис",19000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,800x450x80,Економ,"Стандартна, портрет і орнамент",22500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,800x450x80,Економ,"Складна, різьблення й декор",27000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,800x450x80,Економ,"Елітна, скульптура й позолота",33500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x500x80,Стандарт,"Проста форма, гравіювання напису",17500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x500x80,Стандарт,"Базова, портрет і напис",21000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x500x80,Стандарт,"Стандартна, портрет і орнамент",25000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x500x80,Стандарт,"Складна, різьблення й декор",30000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x500x80,Стандарт,"Елітна, скульптура й позолота",37000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x600x80,Збільшений,"Проста форма, гравіювання напису",18500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x600x80,Збільшений,"Базова, портрет і напис",22500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x600x80,Збільшений,"Стандартна, портрет і орнамент",26500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x600x80,Збільшений,"Складна, різьблення й декор",31500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1000x600x80,Збільшений,"Елітна, скульптура й позолота",39500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1200x600x80,Преміум,"Проста форма, гравіювання напису",20000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1200x600x80,Преміум,"Базова, портрет і напис",24000
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1200x600x80,Преміум,"Стандартна, портрет і орнамент",28500
Пам'ятник одинарний,Лабрадорит (Добринський),labradorite,black,1200x600x80,Преміум,"Складна, різьблення й декор",34000
