код	було	стало	камінь було	камінь стало	назва
001	136000	237000	gabbro	gabbro	Меморіальний комплекс — головинське габро, складне різьблення
002	305000	385500	gabbro	gabbro	Військовий пам'ятник — габро, елітне оздоблення
003	109000	175000	gabbro	gabbro	Меморіальний комплекс — букинське габро, стандартне оздоблення
004	155000	306000	Лезниківський	Лезниківський	Меморіальний комплекс — лезниківський граніт, елітне оздоблення
005	101000	206500	Покостівський	Покостівський	Військовий пам'ятник — покостівський граніт, базове оздоблення
006	190000	324000	labradorite	labradorite	Військовий пам'ятник — добринський лабрадорит, складне різьблення
007	328000	414500	gabbro	gabbro	Військовий пам'ятник — габро, елітне оздоблення
008	178000	303500	labradorite	labradorite	Військовий пам'ятник — горбулівський лабрадорит, складне різьблення
009	201000	328000	gabbro	gabbro	Військовий пам'ятник — головинське габро, складне різьблення
010	193000	348500	marble	marble	Меморіальний комплекс — білий мармур, елітне оздоблення
011	167000	267500	gabbro	gabbro	Військовий пам'ятник — букинське габро, стандартне оздоблення
012	90000	180500	labradorite	labradorite	Військовий пам'ятник — добринський лабрадорит, проста форма
013	147000	291000	Дідковицький	Дідковицький	Меморіальний комплекс — дідковицький граніт, елітне оздоблення
014	83000	113500	Покостівський	Танський	Меморіальний комплекс — танський граніт, проста форма
015	87000	186000	labradorite	Лезниківський	Військовий пам'ятник — лезниківський граніт, проста форма
016	224000	321000	gabbro	gabbro	Меморіальний комплекс — головинське габро, елітне оздоблення
017	106000	245500	Капустинський	Софіївський	Військовий пам'ятник — софіївський граніт, стандартне оздоблення
018	99000	209000	gabbro	gabbro	Військовий пам'ятник — габро, базове оздоблення
019	121000	217000	Капустинський	Капустинський	Меморіальний комплекс — капустинський граніт, складне різьблення
020	140000	241000	gabbro	gabbro	Меморіальний комплекс — габро, складне різьблення
021	101000	155000	Капустинський	Межиріцький	Меморіальний комплекс — межиріцький граніт, базове оздоблення
022	67000	113500	labradorite	labradorite	Меморіальний комплекс — добринський лабрадорит, проста форма
023	85000	114000	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, проста форма
024	97000	131500	Капустинський	Капустинський	Меморіальний комплекс — капустинський граніт, проста форма
025	103000	160000	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, базове оздоблення
026	94000	198500	gabbro	gabbro	Військовий пам'ятник — габро, базове оздоблення
027	113000	186500	Капустинський	Капустинський	Меморіальний комплекс — капустинський граніт, стандартне оздоблення
028	102000	158500	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, базове оздоблення
029	100000	222000	gabbro	Корнинський	Військовий пам'ятник — корнинський граніт, базове оздоблення
030	110000	232500	Покостівський	gabbro	Військовий пам'ятник — габро, стандартне оздоблення
031	124000	222500	Капустинський	Капустинський	Меморіальний комплекс — капустинський граніт, складне різьблення
032	97000	132000	labradorite	Маславський	Меморіальний комплекс — маславський граніт, проста форма
033	114000	189500	Капустинський	Межиріцький	Меморіальний комплекс — межиріцький граніт, стандартне оздоблення
034	99000	147000	gabbro	gabbro	Меморіальний комплекс — габро, базове оздоблення
035	106000	157500	gabbro	gabbro	Меморіальний комплекс — головинське габро, базове оздоблення
036	101000	157000	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, базове оздоблення
037	91000	122000	labradorite	labradorite	Меморіальний комплекс — добринський лабрадорит, проста форма
038	108000	173500	gabbro	gabbro	Меморіальний комплекс — габро, стандартне оздоблення
039	117000	188000	gabbro	gabbro	Меморіальний комплекс — габро, стандартне оздоблення
040	112000	183500	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, стандартне оздоблення
041	116000	195000	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, стандартне оздоблення
042	103000	156000	labradorite	labradorite	Меморіальний комплекс — лабрадорит, базове оздоблення
043	145000	241000	gabbro	gabbro	Меморіальний комплекс — букинське габро, складне різьблення
044	107000	175000	labradorite	labradorite	Меморіальний комплекс — добринський лабрадорит, стандартне оздоблення
045	120000	213000	labradorite	labradorite	Меморіальний комплекс — горбулівський лабрадорит, складне різьблення
046	113000	184500	gabbro	Танський	Меморіальний комплекс — танський граніт, стандартне оздоблення
047	118000	209000	Лезниківський	gabbro	Меморіальний комплекс — габро, складне різьблення
048	101000	157000	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, базове оздоблення
049	114000	191500	gabbro	Лезниківський	Меморіальний комплекс — лезниківський граніт, стандартне оздоблення
050	105000	159000	labradorite	labradorite	Меморіальний комплекс — лабрадорит, базове оздоблення
051	100000	151500	labradorite	labradorite	Меморіальний комплекс — добринський лабрадорит, базове оздоблення
